INFO: BenchmarkParams{sampleLimit=null, threads=2, delayMs=300, gpuConfig='4090', modelName='qwen2.5-coder:14b-instruct-gptq4', modelUrl='http://195.209.214.245:7777/v1/completions', apiKey='null', contextSize=1024, tokenizer=D:\work\git\model-speed-benchmark\build\resources\main\tokenizer\Qwen2.5-Coder-14B.json, dataset=D:\work\git\model-speed-benchmark\build\resources\main\dataset\repoeval\line_level.java.test.jsonl, mock=false}

timeMs, contextTokensSize, responseCharsSize
305, 400, 0
372, 295, 62
416, 249, 94
397, 687, 50
591, 646, 140
428, 205, 76
357, 760, 36
279, 533, 0
450, 794, 48
404, 233, 58
451, 562, 34
345, 360, 43
331, 297, 44
413, 683, 61
475, 527, 85
445, 474, 38
544, 618, 107
321, 198, 36
383, 629, 48
385, 215, 54
439, 382, 112
929, 621, 177
382, 460, 45
453, 292, 58
367, 689, 31
519, 574, 130
407, 312, 40
456, 481, 50
376, 759, 46
391, 301, 56
334, 273, 41
380, 447, 35
455, 779, 48
492, 584, 33
343, 294, 44
328, 278, 44
254, 253, 19
392, 824, 59
331, 576, 29
419, 637, 56
747, 514, 182
427, 552, 72
300, 199, 40
301, 316, 31
296, 192, 27
377, 618, 43
397, 107, 40
391, 699, 33
575, 391, 94
407, 690, 54
495, 900, 78
412, 483, 55
405, 793, 48
436, 278, 49
353, 317, 71
561, 437, 55
585, 374, 90
411, 249, 25
463, 631, 28
251, 330, 0
482, 137, 131
387, 736, 41
575, 897, 101
350, 507, 31
390, 657, 41
234, 227, 0
431, 618, 70
458, 543, 34
486, 232, 38
437, 147, 49
439, 430, 113
371, 222, 49
351, 624, 45
235, 273, 0
364, 639, 36
588, 413, 79
380, 652, 50
371, 596, 42
706, 486, 145
366, 718, 31
445, 358, 88
796, 392, 133
244, 354, 0
262, 321, 5
452, 369, 61
349, 405, 42
468, 811, 56
431, 122, 44
385, 719, 56
320, 454, 36
285, 750, 0
421, 284, 83
419, 817, 45
331, 218, 48
582, 393, 110
504, 791, 42
521, 542, 37
509, 497, 62
509, 555, 40
227, 235, 0
434, 406, 52
389, 284, 82
535, 574, 44
565, 842, 88
392, 483, 61
539, 714, 71
353, 124, 68
456, 544, 83
379, 811, 42
333, 235, 56
348, 189, 48
370, 582, 52
453, 309, 128
412, 372, 81
387, 648, 46
333, 437, 44
303, 186, 34
3389, 133, 28
435, 604, 41
353, 829, 44
517, 516, 53
857, 300, 115
811, 481, 124
386, 86, 39
458, 444, 45
400, 313, 48
428, 315, 37
307, 664, 3
227, 92, 0
368, 577, 49
368, 891, 37
405, 432, 64
353, 193, 37
443, 393, 65
338, 614, 40
346, 499, 56
379, 701, 39
401, 118, 67
385, 454, 37
607, 612, 68
553, 784, 59
480, 534, 84
350, 136, 58
378, 472, 48
394, 875, 33
395, 242, 90
336, 508, 24
372, 660, 36
313, 190, 46
288, 135, 47
498, 415, 55
410, 858, 40
437, 616, 109
319, 333, 35
395, 398, 38
389, 131, 32
366, 88, 75
564, 304, 100
502, 377, 89
