INFO: BenchmarkParams{sampleLimit=null, threads=1, delayMs=300, gpuConfig='5090', modelName='qwen2.5-coder:14b', modelUrl='https://reproduce-bubble-females-recovery.trycloudflare.com/v1/completions', apiKey='null', contextSize=4096, tokenizer=D:\work\git\model-speed-benchmark\build\resources\main\tokenizer\Qwen2.5-Coder-14B.json, dataset=D:\work\git\model-speed-benchmark\build\resources\main\dataset\repoeval\line_level.java.test.jsonl, mock=false}

timeMs, contextTokensSize, responseCharsSize
721, 1544, 72
677, 1013, 110
762, 2402, 13
557, 1142, 12
623, 1561, 33
918, 3244, 60
755, 526, 144
717, 1200, 76
731, 2461, 67
610, 1074, 46
573, 574, 57
462, 464, 16
572, 639, 45
507, 621, 31
585, 1386, 101
742, 900, 75
660, 2386, 0
663, 1154, 95
680, 1788, 66
560, 262, 75
507, 1327, 61
935, 3049, 22
532, 191, 54
797, 1415, 101
573, 894, 46
638, 2568, 78
565, 3228, 25
652, 1352, 67
749, 3183, 85
556, 922, 46
915, 1668, 91
671, 1478, 60
638, 1517, 53
1091, 1372, 151
624, 905, 53
759, 393, 40
824, 2306, 43
525, 354, 34
1028, 3062, 58
952, 2882, 73
471, 1123, 52
506, 482, 41
645, 542, 55
734, 1654, 81
550, 667, 34
460, 1034, 46
493, 758, 62
562, 754, 47
675, 1308, 54
589, 872, 91
622, 1610, 47
1957, 3042, 50
721, 1200, 62
809, 1712, 79
507, 529, 36
1232, 3817, 36
599, 782, 79
857, 3055, 49
525, 443, 27
505, 593, 50
756, 1571, 89
675, 2278, 32
435, 364, 39
792, 1956, 124
771, 2166, 74
841, 2310, 56
525, 729, 44
798, 268, 80
525, 1022, 51
490, 242, 48
579, 3108, 49
685, 1905, 47
1064, 3393, 95
1232, 3462, 119
598, 1260, 65
505, 447, 40
519, 170, 55
771, 1134, 27
554, 800, 62
624, 754, 83
518, 580, 42
709, 2369, 28
542, 419, 46
1112, 3050, 93
672, 926, 53
741, 398, 122
938, 2815, 114
600, 1007, 70
619, 882, 44
566, 1333, 13
594, 492, 56
521, 876, 58
1122, 1112, 148
889, 1984, 168
599, 1258, 53
501, 172, 54
592, 1026, 55
1150, 2531, 217
580, 387, 58
827, 1870, 112
1504, 2206, 200
679, 1745, 72
828, 2601, 45
772, 2029, 60
521, 498, 45
661, 2087, 7
776, 2076, 81
460, 207, 44
856, 693, 80
833, 1815, 38
678, 1625, 56
721, 249, 145
1029, 1724, 104
742, 2217, 38
603, 1129, 45
754, 134, 32
719, 1280, 102
516, 427, 25
571, 911, 54
1052, 2142, 54
707, 1913, 58
646, 2181, 34
648, 199, 92
697, 2471, 0
551, 707, 30
483, 2206, 58
790, 782, 34
545, 419, 49
702, 1436, 96
678, 1721, 42
597, 1364, 42
565, 708, 22
470, 1618, 30
870, 3940, 5
711, 467, 95
516, 444, 45
647, 287, 72
754, 679, 42
592, 2402, 53
582, 1468, 23
631, 1571, 58
686, 1932, 36
450, 588, 0
898, 2911, 72
758, 279, 41
473, 685, 60
492, 361, 0
563, 916, 32
524, 131, 63
840, 2617, 44
486, 268, 36
899, 2669, 89
587, 448, 93
564, 1640, 2
926, 2113, 37
618, 1919, 21
