INFO: BenchmarkParams{sampleLimit=null, threads=2, delayMs=300, gpuConfig='4090', modelName='qwen2.5-coder:14b-instruct-gptq4', modelUrl='http://195.209.214.245:7777/v1/completions', apiKey='null', contextSize=2048, tokenizer=D:\work\git\model-speed-benchmark\build\resources\main\tokenizer\Qwen2.5-Coder-14B.json, dataset=D:\work\git\model-speed-benchmark\build\resources\main\dataset\repoeval\line_level.java.test.jsonl, mock=false}

timeMs, contextTokensSize, responseCharsSize
305, 400, 0
370, 295, 62
444, 249, 94
388, 687, 50
823, 646, 140
843, 1852, 115
657, 205, 75
563, 1131, 55
645, 1501, 102
563, 1186, 84
269, 533, 0
505, 1177, 73
371, 562, 34
350, 760, 36
337, 360, 43
449, 1765, 16
536, 794, 48
400, 297, 44
586, 233, 58
545, 1824, 42
466, 527, 85
524, 683, 61
526, 618, 95
578, 1009, 84
381, 629, 48
316, 474, 38
920, 621, 177
320, 198, 36
580, 937, 41
611, 1066, 50
309, 215, 54
361, 689, 31
415, 382, 112
374, 460, 45
320, 312, 40
524, 292, 58
543, 1615, 75
505, 574, 130
612, 1595, 66
366, 481, 50
504, 273, 30
619, 1804, 70
371, 759, 46
355, 779, 48
387, 301, 56
335, 294, 44
523, 1080, 35
640, 1344, 62
362, 253, 19
461, 447, 35
387, 584, 33
504, 824, 59
575, 1254, 33
653, 1454, 43
416, 637, 56
451, 278, 44
459, 552, 72
668, 1026, 65
480, 1192, 49
301, 199, 40
321, 576, 29
299, 316, 31
437, 1125, 39
809, 514, 182
381, 107, 40
643, 1163, 100
624, 391, 94
611, 1033, 60
394, 690, 54
396, 192, 27
453, 967, 50
474, 1819, 0
627, 618, 43
410, 1228, 14
366, 699, 33
381, 793, 48
370, 1413, 0
336, 278, 49
590, 900, 78
452, 437, 55
503, 483, 55
662, 1849, 63
661, 1686, 32
930, 1350, 100
428, 1690, 0
579, 317, 71
474, 631, 28
527, 374, 90
251, 330, 0
536, 1413, 61
382, 736, 41
409, 1443, 29
551, 897, 101
336, 249, 25
676, 137, 131
655, 1474, 124
223, 227, 0
502, 1015, 93
442, 232, 38
498, 1099, 24
348, 147, 49
329, 507, 31
563, 1753, 28
625, 657, 41
426, 618, 70
351, 624, 45
351, 543, 34
574, 1390, 124
884, 944, 135
229, 273, 0
415, 430, 106
539, 1095, 76
495, 1215, 56
370, 222, 49
450, 413, 79
571, 1558, 22
407, 596, 42
438, 963, 61
359, 639, 36
367, 718, 31
648, 652, 50
673, 1848, 120
528, 358, 88
796, 486, 145
232, 354, 0
249, 321, 5
522, 1805, 44
673, 1126, 115
341, 405, 42
338, 122, 44
880, 392, 133
478, 719, 56
372, 369, 61
522, 1227, 75
404, 931, 32
448, 1484, 12
321, 454, 36
638, 811, 56
905, 1665, 114
586, 1546, 24
426, 284, 83
572, 963, 47
487, 817, 45
441, 1419, 31
439, 1267, 46
714, 393, 110
455, 1423, 41
340, 750, 0
501, 542, 37
