INFO: BenchmarkParams{sampleLimit=null, threads=2, delayMs=300, gpuConfig='4090x2', modelName='qwen2.5-coder:14b-instruct-gptq4', modelUrl='http://195.209.214.245:7777/v1/completions', apiKey='null', contextSize=4096, tokenizer=D:\work\git\model-speed-benchmark\build\resources\main\tokenizer\Qwen2.5-Coder-14B.json, dataset=D:\work\git\model-speed-benchmark\build\resources\main\dataset\repoeval\line_level.java.test.jsonl, mock=false}

timeMs, contextTokensSize, responseCharsSize
358, 1201, 3
434, 398, 38
521, 776, 38
442, 1243, 43
357, 640, 39
572, 1859, 46
684, 1183, 33
774, 509, 40
802, 3261, 60
475, 1343, 28
577, 2161, 51
363, 304, 100
733, 1309, 69
1050, 3548, 67
426, 719, 0
566, 1082, 35
841, 3191, 95
963, 1306, 91
646, 770, 49
1209, 1908, 304
286, 254, 35
399, 142, 60
352, 327, 58
471, 370, 73
546, 872, 78
394, 1609, 0
410, 320, 72
387, 466, 72
262, 571, 0
401, 982, 57
420, 388, 56
385, 608, 71
647, 1940, 17
590, 1244, 0
458, 387, 39
527, 923, 42
446, 574, 102
506, 1806, 51
899, 2728, 54
559, 942, 48
569, 1322, 37
342, 564, 48
705, 2278, 57
647, 2794, 47
698, 396, 48
696, 432, 31
785, 2820, 73
511, 1389, 96
358, 381, 46
344, 458, 80
506, 1040, 63
928, 2952, 77
301, 411, 30
370, 1005, 31
365, 579, 62
302, 443, 31
430, 870, 5
493, 696, 47
982, 861, 67
934, 3978, 121
619, 669, 46
619, 1876, 46
368, 814, 56
305, 548, 35
710, 789, 54
972, 3642, 62
715, 945, 37
908, 2094, 137
1020, 3881, 24
967, 1096, 91
766, 297, 44
822, 3362, 20
492, 326, 63
527, 947, 53
1038, 3878, 7
1140, 2510, 76
521, 1351, 53
665, 96, 100
323, 401, 25
357, 483, 46
533, 1074, 85
387, 267, 84
587, 2800, 0
584, 376, 136
467, 1389, 28
390, 601, 53
800, 2039, 43
663, 1546, 61
439, 487, 18
599, 1068, 103
251, 423, 1
323, 177, 44
940, 3518, 39
366, 844, 19
610, 617, 40
646, 1731, 85
313, 696, 26
341, 463, 66
558, 457, 54
1168, 3062, 205
346, 558, 66
327, 586, 50
327, 683, 36
869, 3442, 37
1690, 493, 247
849, 3775, 34
452, 589, 36
611, 793, 110
723, 549, 87
569, 2073, 63
486, 455, 32
937, 2980, 104
679, 1906, 54
755, 841, 112
711, 1450, 33
646, 1848, 88
575, 763, 91
546, 933, 52
460, 1097, 31
483, 386, 52
517, 612, 54
554, 379, 109
542, 749, 52
362, 415, 46
301, 126, 23
449, 881, 75
393, 376, 102
261, 184, 40
390, 1453, 23
413, 412, 47
330, 528, 9
384, 360, 41
514, 1994, 49
295, 876, 0
688, 3122, 21
604, 2937, 0
407, 343, 66
354, 660, 44
410, 592, 38
407, 390, 67
451, 1821, 3
895, 2864, 46
1284, 3453, 43
1267, 3298, 58
322, 457, 21
355, 91, 56
376, 913, 44
504, 639, 88
545, 931, 152
612, 1558, 46
805, 1776, 117
422, 1038, 48
586, 311, 87
274, 502, 12
883, 3640, 31
442, 356, 81
472, 1836, 31
413, 1167, 41
319, 192, 78
344, 696, 52
313, 424, 44
305, 260, 47
384, 178, 38
418, 668, 50
673, 1171, 30
762, 1882, 66
535, 275, 16
698, 2494, 65
845, 1674, 95
783, 2030, 89
1013, 1301, 82
1059, 3750, 94
461, 410, 36
486, 918, 79
310, 313, 44
465, 330, 63
281, 224, 40
527, 1512, 73
374, 1467, 0
815, 1747, 110
290, 470, 43
423, 571, 44
939, 3099, 81
564, 1349, 0
940, 2795, 85
596, 1245, 99
796, 535, 115
677, 1850, 29
720, 919, 90
558, 424, 77
639, 1747, 92
382, 371, 37
382, 673, 57
516, 663, 30
597, 1677, 37
908, 3418, 44
568, 792, 41
912, 1970, 24
929, 2853, 54
777, 777, 63
779, 2763, 57
763, 610, 80
796, 2317, 82
449, 648, 109
802, 3127, 42
348, 1294, 0
323, 423, 41
342, 345, 66
541, 1838, 69
660, 868, 32
909, 3367, 33
684, 171, 44
694, 2854, 31
683, 1059, 59
669, 1539, 87
372, 340, 17
430, 578, 35
881, 421, 54
1008, 3928, 57
352, 650, 42
787, 3740, 45
928, 913, 30
353, 802, 46
543, 2066, 80
386, 786, 31
882, 3202, 36
341, 643, 40
641, 1970, 55
440, 447, 63
440, 904, 31
349, 657, 40
335, 230, 94
330, 651, 44
638, 2153, 31
254, 180, 34
539, 1366, 92
476, 1234, 43
458, 1506, 29
404, 1143, 35
650, 2291, 27
561, 814, 64
392, 549, 5
396, 610, 38
848, 2348, 96
799, 1390, 59
357, 862, 27
308, 315, 40
308, 255, 31
426, 1340, 38
433, 899, 56
327, 578, 50
275, 322, 36
529, 486, 90
726, 1041, 179
237, 125, 35
391, 708, 72
519, 440, 57
482, 1328, 37
419, 1113, 48
736, 2195, 56
591, 983, 75
636, 1139, 75
768, 1144, 60
727, 2358, 81
507, 1003, 77
521, 500, 73
398, 1106, 41
641, 2947, 28
750, 3213, 30
320, 275, 60
370, 926, 44
430, 1095, 45
505, 1538, 79
355, 721, 31
737, 2644, 41
340, 751, 38
477, 1797, 44
305, 937, 0
462, 1936, 25
342, 510, 47
631, 1088, 66
322, 946, 5
368, 615, 36
433, 237, 66
827, 1105, 65
830, 2637, 116
569, 1765, 86
609, 358, 91
701, 820, 71
698, 2072, 76
399, 457, 50
425, 319, 30
711, 996, 71
784, 1997, 64
411, 570, 52
551, 1180, 73
931, 2997, 74
1277, 3365, 69
397, 465, 43
399, 444, 57
1024, 1766, 58
791, 3258, 57
455, 798, 101
553, 498, 101
277, 384, 0
513, 672, 87
309, 445, 49
197, 117, 0
672, 1922, 116
530, 360, 97
475, 1233, 51
493, 398, 48
719, 3175, 29
785, 767, 46
496, 689, 83
449, 397, 72
525, 934, 60
663, 527, 130
352, 414, 46
554, 1152, 73
795, 205, 56
978, 3716, 100
227, 118, 5
463, 898, 49
1215, 3991, 46
866, 2133, 79
446, 454, 62
392, 442, 65
955, 3346, 73
369, 641, 42
671, 1156, 61
656, 1680, 77
350, 735, 44
442, 1613, 29
276, 204, 31
433, 175, 65
689, 1983, 103
325, 306, 34
495, 838, 96
548, 172, 48
563, 1544, 72
507, 1013, 115
594, 439, 68
360, 837, 47
676, 2402, 13
414, 955, 58
732, 1142, 12
804, 2635, 103
647, 1561, 33
784, 2259, 36
899, 3244, 60
928, 1507, 40
510, 526, 144
844, 3299, 90
696, 1080, 95
540, 1200, 76
711, 539, 43
612, 2461, 67
328, 352, 54
421, 1074, 46
412, 1558, 21
433, 574, 57
841, 2610, 130
251, 464, 16
368, 1132, 0
365, 639, 45
409, 621, 31
333, 398, 67
586, 1386, 101
266, 321, 11
627, 900, 75
408, 412, 52
537, 2386, 0
798, 1224, 86
494, 759, 60
627, 1154, 95
445, 1380, 50
515, 1788, 66
329, 744, 44
416, 262, 75
311, 389, 62
642, 906, 62
472, 1327, 61
1033, 2287, 63
716, 3049, 22
575, 665, 115
321, 191, 54
944, 2675, 108
