INFO: BenchmarkParams{sampleLimit=null, threads=2, delayMs=300, gpuConfig='5090', modelName='qwen2.5-coder:14b', modelUrl='https://reproduce-bubble-females-recovery.trycloudflare.com/v1/completions', apiKey='null', contextSize=4096, tokenizer=D:\work\git\model-speed-benchmark\build\resources\main\tokenizer\Qwen2.5-Coder-14B.json, dataset=D:\work\git\model-speed-benchmark\build\resources\main\dataset\repoeval\line_level.java.test.jsonl, mock=false}

timeMs, contextTokensSize, responseCharsSize
649, 400, 0
1228, 2982, 129
542, 249, 94
572, 295, 62
661, 646, 132
507, 687, 50
573, 205, 71
691, 2066, 53
1331, 1852, 115
840, 1131, 35
757, 2202, 48
1009, 1501, 102
699, 533, 0
672, 1186, 84
502, 562, 34
670, 1177, 73
946, 360, 43
570, 760, 36
623, 1765, 28
528, 297, 44
604, 794, 48
718, 1824, 42
517, 233, 58
955, 527, 85
986, 3054, 71
965, 2627, 0
1070, 2470, 36
739, 618, 95
567, 683, 61
591, 629, 48
612, 1009, 80
548, 2486, 32
696, 2003, 46
1573, 3083, 43
1240, 621, 168
989, 2231, 60
1160, 2310, 86
471, 937, 41
524, 474, 38
804, 198, 36
1023, 3366, 55
756, 1066, 69
802, 689, 31
919, 215, 54
919, 3006, 59
568, 382, 112
497, 312, 40
827, 460, 45
580, 292, 58
591, 2988, 88
511, 1615, 75
847, 574, 134
752, 1595, 66
557, 481, 50
1042, 3754, 88
916, 2010, 51
943, 1804, 70
600, 273, 41
572, 759, 46
775, 3628, 55
775, 301, 56
468, 779, 48
591, 1080, 35
501, 294, 44
528, 1344, 62
606, 447, 45
944, 584, 33
994, 3708, 50
746, 253, 19
845, 1454, 43
557, 824, 59
1085, 2363, 66
541, 1254, 33
508, 278, 44
586, 637, 56
525, 552, 57
611, 1192, 49
605, 1026, 65
526, 576, 29
492, 199, 40
490, 316, 31
710, 514, 176
723, 1125, 39
792, 1163, 108
752, 2828, 64
796, 1033, 60
491, 107, 40
1030, 3160, 48
677, 391, 94
561, 192, 27
563, 690, 54
