INFO: BenchmarkParams{sampleLimit=null, threads=2, delayMs=300, gpuConfig='4090x2', modelName='qwen2.5-coder:32b-instruct-qptq-int8', modelUrl='http://195.209.214.245:7777/v1/completions', apiKey='null', contextSize=4096, tokenizer=D:\work\git\model-speed-benchmark\build\resources\main\tokenizer\Qwen2.5-Coder-14B.json, dataset=D:\work\git\model-speed-benchmark\build\resources\main\dataset\repoeval\line_level.java.test.jsonl, mock=false}

timeMs, contextTokensSize, responseCharsSize
578, 105, 40
1152, 2330, 35
2433, 1557, 120
2596, 2664, 123
3294, 3475, 168
2895, 3782, 74
2723, 3654, 100
1281, 2995, 0
672, 1498, 0
2297, 969, 66
1459, 993, 35
1673, 2486, 134
1079, 366, 80
892, 1189, 54
426, 135, 47
1004, 858, 40
1679, 1789, 85
1649, 333, 60
1810, 3516, 85
1439, 1201, 3
1149, 776, 58
3247, 3151, 226
676, 398, 52
818, 640, 39
1338, 1859, 46
1450, 1243, 43
526, 509, 44
739, 1183, 33
2072, 2161, 40
1861, 3261, 60
1451, 3548, 0
2134, 1343, 28
710, 719, 52
1142, 304, 100
1086, 1306, 102
1520, 1309, 68
887, 1082, 35
2979, 1908, 304
1393, 3191, 11
1320, 142, 69
938, 770, 71
603, 370, 66
456, 254, 35
748, 320, 72
655, 327, 58
1054, 571, 33
1176, 872, 78
1033, 1609, 30
1273, 982, 57
682, 388, 56
789, 466, 69
820, 1940, 17
874, 608, 61
1120, 923, 42
768, 1244, 0
749, 387, 39
1751, 2728, 77
651, 942, 48
1323, 574, 121
1360, 1806, 51
1806, 2278, 57
1677, 1322, 37
1569, 2794, 47
1384, 2820, 14
1187, 564, 48
716, 396, 48
631, 381, 44
1470, 432, 31
1480, 2952, 77
716, 1005, 31
1449, 1389, 104
721, 443, 31
683, 458, 86
1003, 696, 47
848, 1040, 63
1750, 3978, 36
1725, 411, 30
986, 1876, 46
1299, 579, 62
730, 870, 5
884, 548, 35
975, 789, 62
1211, 861, 82
862, 669, 46
2176, 2094, 137
684, 814, 56
1806, 3642, 38
2030, 1096, 56
779, 297, 44
1066, 945, 53
1717, 3881, 24
2052, 947, 53
2608, 3878, 54
2719, 3362, 20
1047, 326, 61
1093, 1351, 53
1020, 2510, 0
1796, 401, 89
1317, 96, 100
507, 483, 46
932, 267, 61
831, 1074, 85
1326, 2800, 53
1156, 376, 80
771, 1389, 21
1271, 2039, 43
1398, 601, 53
1117, 487, 31
1305, 1546, 61
461, 423, 1
1575, 3518, 39
2246, 1068, 103
623, 617, 36
470, 177, 44
861, 844, 19
841, 463, 66
1180, 457, 54
1315, 1731, 85
692, 696, 26
924, 558, 48
1472, 683, 36
2850, 3062, 222
551, 586, 50
3549, 493, 247
1488, 3442, 37
1743, 589, 36
1696, 3775, 48
1088, 549, 87
1154, 793, 110
1795, 2073, 3
2376, 2980, 104
818, 455, 24
1912, 841, 107
1027, 1906, 38
1434, 1450, 33
1193, 1848, 88
993, 763, 69
1069, 933, 52
727, 1097, 31
1346, 386, 132
982, 612, 54
729, 379, 83
722, 415, 40
1085, 749, 52
831, 881, 97
1809, 126, 109
416, 184, 40
977, 376, 102
753, 412, 65
867, 1453, 23
1248, 360, 112
908, 1994, 0
1068, 528, 9
909, 876, 0
1950, 3122, 85
1145, 2937, 0
1462, 343, 66
583, 660, 24
711, 592, 38
910, 390, 49
1102, 1821, 3
1874, 2864, 46
2647, 3453, 40
2619, 3298, 58
629, 91, 56
527, 457, 21
940, 913, 44
1025, 639, 88
1572, 931, 114
1228, 1776, 86
727, 1038, 0
1243, 1558, 39
691, 502, 26
880, 311, 87
1828, 356, 81
1553, 3640, 31
1334, 1836, 31
1155, 1167, 41
689, 696, 52
975, 192, 86
549, 424, 44
877, 260, 51
735, 178, 38
673, 668, 50
1369, 1171, 30
1502, 1882, 66
1079, 275, 33
1493, 2494, 65
1641, 1674, 60
1684, 2030, 109
2156, 1301, 82
2101, 3750, 94
881, 410, 36
1162, 918, 141
880, 330, 67
515, 313, 44
620, 224, 40
1018, 1512, 73
850, 1467, 0
1774, 1747, 119
1358, 470, 43
545, 571, 44
2806, 3099, 189
834, 1349, 0
655, 535, 2
2122, 2795, 70
1332, 919, 83
1212, 1245, 99
1260, 424, 77
1054, 1850, 29
1034, 371, 37
1120, 1747, 57
1104, 673, 57
1244, 1677, 37
1097, 663, 79
872, 792, 72
2167, 3418, 44
2094, 1970, 23
1591, 2853, 44
1657, 777, 63
2164, 2763, 71
2268, 2317, 81
1154, 610, 80
856, 648, 96
851, 1294, 0
1579, 3127, 0
908, 423, 41
1223, 1838, 69
1293, 345, 70
830, 868, 73
1138, 171, 44
1656, 3367, 34
1722, 2854, 31
1813, 1059, 59
1159, 578, 35
1338, 1539, 87
1767, 340, 19
2272, 3928, 57
610, 421, 54
1557, 3740, 18
1842, 650, 42
1475, 913, 30
1472, 2066, 96
812, 786, 31
958, 802, 46
1412, 643, 40
1734, 3202, 36
1350, 904, 31
1327, 1970, 55
720, 447, 63
659, 230, 91
835, 657, 40
722, 651, 72
1502, 2153, 31
1390, 1366, 92
420, 180, 34
847, 1506, 29
851, 1234, 46
1408, 2291, 27
1120, 1143, 35
416, 549, 5
2032, 814, 64
1625, 2348, 126
701, 862, 27
1010, 610, 50
1139, 1390, 59
1229, 255, 52
581, 315, 40
1024, 899, 56
806, 322, 36
1091, 1340, 80
632, 578, 50
912, 486, 90
784, 125, 35
1175, 1041, 134
568, 708, 38
852, 440, 57
709, 1113, 0
1248, 1328, 37
1235, 2195, 56
1536, 983, 87
1194, 1144, 60
1415, 1139, 71
1291, 2358, 58
1551, 1003, 77
1640, 500, 70
1301, 2947, 28
883, 1106, 38
620, 275, 60
1829, 1095, 45
1938, 3213, 65
1467, 926, 44
1514, 2644, 41
1071, 1797, 44
1604, 1538, 79
1122, 1936, 25
1068, 721, 31
859, 751, 38
1187, 1088, 37
667, 937, 44
914, 237, 66
1438, 510, 47
1866, 2637, 167
562, 946, 5
866, 615, 36
1182, 1765, 53
1080, 820, 71
1258, 1105, 86
785, 457, 50
781, 358, 105
1351, 2072, 65
1512, 996, 71
1007, 319, 80
1000, 1180, 74
2382, 1997, 65
2126, 2997, 127
701, 465, 43
833, 570, 52
1916, 1766, 51
2311, 3365, 69
632, 444, 57
1013, 498, 101
1518, 3258, 57
1996, 672, 101
290, 117, 0
969, 798, 101
342, 384, 0
916, 360, 97
978, 445, 49
844, 1233, 66
1269, 767, 46
1347, 1922, 116
396, 398, 1
1157, 397, 123
1530, 3175, 29
1392, 527, 42
549, 414, 46
985, 689, 83
1990, 934, 60
2311, 3716, 102
730, 118, 51
1007, 1152, 73
1710, 205, 56
1872, 3991, 46
776, 454, 62
970, 898, 49
1061, 641, 42
1642, 2133, 79
962, 442, 65
1242, 1680, 78
1896, 1613, 77
2222, 3346, 73
1418, 1156, 61
2320, 1983, 133
712, 735, 44
635, 204, 31
463, 306, 34
600, 172, 45
639, 175, 65
823, 838, 96
1182, 439, 68
1104, 837, 47
1322, 1544, 72
1142, 955, 58
1063, 1013, 107
1821, 2402, 67
2285, 2635, 103
1459, 2259, 36
1810, 1142, 90
1438, 1507, 38
891, 1561, 33
2476, 3244, 60
2245, 3299, 92
1173, 1080, 95
1400, 526, 149
648, 539, 43
1014, 352, 54
1131, 1200, 76
1781, 2461, 67
1818, 1558, 53
1374, 1074, 46
1925, 2610, 130
560, 1132, 0
614, 574, 57
587, 464, 36
787, 398, 52
432, 321, 11
882, 639, 49
776, 621, 44
788, 412, 52
790, 1224, 0
766, 759, 60
2267, 1386, 165
1151, 1380, 39
1471, 900, 75
590, 744, 44
981, 2386, 0
1203, 389, 62
945, 906, 62
1371, 1154, 99
1798, 2287, 63
1448, 1788, 88
845, 262, 54
1228, 665, 114
1759, 1327, 61
1885, 2675, 108
1674, 3049, 27
2086, 850, 79
705, 1373, 20
1030, 191, 53
1859, 2529, 44
2103, 1415, 101
1013, 894, 60
1547, 1603, 85
1727, 2244, 74
2108, 2568, 78
1629, 623, 32
1546, 3228, 39
962, 433, 36
1139, 1352, 67
1610, 709, 51
1639, 3183, 78
693, 922, 46
1059, 349, 47
1761, 1668, 91
1116, 1452, 79
1106, 1478, 55
1203, 254, 89
804, 157, 32
1098, 1517, 49
2079, 3485, 44
2237, 1372, 115
665, 391, 69
1609, 905, 40
1914, 2657, 85
613, 393, 40
1993, 2241, 79
1801, 2306, 43
1052, 354, 34
1204, 1480, 55
1362, 3062, 18
1675, 569, 78
1668, 779, 97
1900, 2882, 73
576, 1123, 2
1387, 1497, 77
826, 482, 41
1831, 755, 154
885, 542, 55
1675, 1726, 56
1603, 1654, 66
897, 667, 34
626, 558, 35
1023, 1034, 46
1052, 917, 42
842, 531, 68
1002, 758, 62
1020, 754, 47
1748, 3183, 61
1448, 1619, 73
1586, 1308, 54
1346, 3276, 1
1841, 872, 91
1260, 1610, 47
