INFO: BenchmarkParams{sampleLimit=null, threads=2, delayMs=300, gpuConfig='4090', modelName='qwen2.5-coder:14b-instruct-gptq4', modelUrl='http://195.209.214.245:7777/v1/completions', apiKey='null', contextSize=32768, tokenizer=D:\work\git\model-speed-benchmark\build\resources\main\tokenizer\Qwen2.5-Coder-14B.json, dataset=D:\work\git\model-speed-benchmark\build\resources\main\dataset\repoeval\line_level.java.test.jsonl, mock=false}

timeMs, contextTokensSize, responseCharsSize
1066, 481, 126
4893, 444, 45
5438, 21831, 91
309, 313, 48
301, 664, 3
798, 1303, 104
385, 577, 49
2641, 5700, 86
2217, 9446, 74
666, 2628, 24
911, 1257, 77
994, 432, 64
910, 4049, 47
871, 1772, 33
774, 2499, 87
1940, 5669, 60
2084, 5095, 104
478, 1025, 7
389, 614, 40
427, 186, 34
418, 701, 39
5071, 2047, 89
5206, 21686, 117
594, 2824, 0
3042, 9221, 72
2192, 4322, 101
389, 604, 41
659, 612, 68
2486, 784, 59
2645, 12203, 74
551, 136, 57
539, 1340, 70
557, 875, 33
583, 982, 50
857, 242, 90
972, 3140, 132
4797, 18660, 176
4559, 300, 115
2192, 11231, 13
2411, 1259, 92
573, 924, 68
353, 86, 39
1492, 1180, 290
603, 315, 37
595, 1766, 62
1090, 660, 36
1158, 5120, 46
476, 92, 0
591, 2360, 32
462, 891, 37
442, 190, 46
2830, 931, 62
3183, 14088, 120
871, 1012, 118
1286, 4136, 129
403, 193, 37
447, 415, 55
532, 616, 109
596, 393, 65
531, 1266, 31
513, 499, 56
1174, 1895, 66
1208, 4535, 37
639, 2412, 31
740, 118, 67
444, 131, 32
355, 454, 37
861, 1623, 92
876, 2420, 55
2946, 14046, 70
2919, 534, 84
388, 88, 75
2641, 2805, 0
3713, 14983, 68
481, 377, 89
371, 472, 48
353, 105, 40
2088, 6880, 28
2559, 7469, 52
887, 2330, 52
838, 1741, 37
840, 508, 24
1709, 3475, 168
622, 2611, 57
4294, 3654, 102
4428, 17603, 135
1125, 2995, 73
1276, 1557, 135
383, 1498, 0
477, 993, 47
1075, 2664, 123
410, 366, 80
958, 3782, 74
4017, 10087, 62
4794, 14986, 60
1083, 969, 66
1089, 4008, 109
856, 1789, 41
1009, 2486, 126
989, 1189, 54
1133, 3516, 85
392, 1201, 3
489, 135, 47
535, 858, 40
589, 776, 17
2038, 6730, 85
2216, 5252, 91
352, 333, 35
385, 640, 39
706, 1859, 46
361, 509, 40
1838, 3151, 251
1829, 6030, 30
1606, 4558, 70
633, 398, 38
700, 2161, 51
962, 1243, 43
948, 3548, 67
314, 719, 0
915, 4091, 0
623, 1306, 91
423, 1183, 33
840, 3261, 60
1667, 1908, 304
443, 1343, 28
370, 142, 60
414, 304, 100
386, 370, 73
509, 1309, 69
745, 1082, 35
1414, 4691, 162
2392, 3191, 95
2279, 9113, 93
